"Timestamp","What is your age group?","You are a(n)","How often do you procrastinate?","When do you usualy start your tasks?","What are your main reasons for procrastinating","What distracts you the most from your tasks?","How many hours do you spend on your phone?","How would you rate the quality of your work when completed last minute?","How would you rate your overall academic/work performance?  ","does procrastinating affect your preformance"
"2026/04/04 7:39:28 pm EET","18-21","Student","Sometimes","A day before the due date","Lack of motivation;Distractions (social media, games,etc.);Poor time mangement;Feeling overwhelmed","Social Media","4-7 hours","4","3","Yes, negatively"
"2026/04/04 9:22:07 pm EET","18-21","Student","Sometimes","A day before the due date","Distractions (social media, games,etc.)","Social Media","8+ hours","5","5","No"
"2026/04/04 9:31:09 pm EET","25+","Employee","Sometimes","Once its announced","Lack of motivation","Social Media","4-7 hours","4","4","Not sure"
"2026/04/04 9:35:02 pm EET","18-21","Student","Often","A day before the due date","Distractions (social media, games,etc.)","Social Media","4-7 hours","4","4","Yes, negatively"
"2026/04/04 10:15:23 pm EET","18-21","Student","Often","A day before the due date","Poor time mangement","Social Media","8+ hours","4","2","Yes, negatively"
"2026/04/04 10:48:37 pm EET","18-21","Student","Always","A day before the due date","Lack of motivation;Distractions (social media, games,etc.);Poor time mangement","Social Media","8+ hours","3","2","Yes, negatively"
"2026/04/05 12:19:20 am EET","21-25","Student","Sometimes","A few days after its announced","Distractions (social media, games,etc.);Poor time mangement","Social Media","2-4 hours","4","4","Yes, negatively"
"2026/04/05 1:16:15 am EET","18-21","Student","Never","The day of the due date","Feeling overwhelmed","TV/Movies","2-4 hours","5","1","Not sure"
"2026/04/05 4:05:15 am EET","18-21","Student","Always","The day of the due date","شركة we وسخه","Call center employees","8+ hours","1","1","Yes, positively"
"2026/04/05 7:49:23 am EET","18-21","Student","Sometimes","The day of the due date","Lack of motivation;Distractions (social media, games,etc.);Poor time mangement;Feeling overwhelmed","Friends/Family","2-4 hours","5","4","Yes, positively"
"2026/04/05 9:47:56 am EET","below 18","Student","Always","Once its announced","Distractions (social media, games,etc.)","Social Media","4-7 hours","3","4","Yes, negatively"
"2026/04/05 1:42:16 pm EET","18-21","Student","Always","The day of the due date","Lack of motivation;Poor time mangement;Feeling overwhelmed","Friends/Family","4-7 hours","2","3","Yes, negatively"
"2026/04/05 7:37:01 pm EET","21-25","Student","Often","A few days after its announced","Poor time mangement;Feeling overwhelmed","Social Media","2-4 hours","3","3","Not sure"
"2026/04/05 7:37:05 pm EET","18-21","Student","Always","A day before the due date","Distractions (social media, games,etc.)","Social Media","2-4 hours","3","3","Yes, negatively"
"2026/04/05 7:37:08 pm EET","18-21","Student","Often","A few days after its announced","Lack of motivation;Feeling overwhelmed","Social Media","2-4 hours","3","4","Yes, negatively"
"2026/04/05 7:37:23 pm EET","18-21","Student","Often","A day before the due date","Lack of motivation;Distractions (social media, games,etc.);Feeling overwhelmed","Social Media","2-4 hours","3","2","Yes, positively"
"2026/04/05 7:37:33 pm EET","18-21","Student","Always","The day of the due date","Lack of motivation;Poor time mangement;Feeling overwhelmed","TV/Movies","2-4 hours","3","3","Yes, negatively"
"2026/04/05 7:39:18 pm EET","18-21","Student","Often","A day before the due date","Distractions (social media, games,etc.);Feeling overwhelmed","Social Media","4-7 hours","4","3","Yes, negatively"
"2026/04/05 7:39:57 pm EET","18-21","Student","Often","The day of the due date","Distractions (social media, games,etc.);Feeling overwhelmed","Social Media","2-4 hours","4","4","No"
"2026/04/05 7:41:22 pm EET","18-21","Student","Often","A day before the due date","Lack of motivation","Social Media","4-7 hours","3","3","Yes, negatively"
"2026/04/05 7:43:51 pm EET","18-21","Student","Sometimes","A day before the due date","Distractions (social media, games,etc.);Feeling overwhelmed","Friends/Family","8+ hours","4","3","Yes, positively"
"2026/04/05 7:52:54 pm EET","18-21","Student","Sometimes","A day before the due date","Lack of motivation;Distractions (social media, games,etc.);Feeling overwhelmed","Social Media","2-4 hours","4","4","Not sure"
"2026/04/05 7:54:34 pm EET","18-21","Student","Always","A day before the due date","Lack of motivation;Distractions (social media, games,etc.);Poor time mangement;laziness","TV/Movies","8+ hours","5","5","No"
"2026/04/05 8:08:34 pm EET","18-21","Student","Often","A few days after its announced","Lack of motivation;Distractions (social media, games,etc.);Poor time mangement;Feeling overwhelmed","Friends/Family","4-7 hours","3","3","Yes, positively"
"2026/04/05 8:22:09 pm EET","18-21","Student","Sometimes","A few days after its announced","Distractions (social media, games,etc.);Feeling overwhelmed","Social Media","2-4 hours","3","3","Not sure"
"2026/04/05 8:25:24 pm EET","18-21","Student","Often","A few days after its announced","Lack of motivation;Poor time mangement;Feeling overwhelmed","Friends/Family","2-4 hours","4","4","No"
"2026/04/05 8:26:16 pm EET","18-21","Student","Often","The day of the due date","Lack of motivation;Poor time mangement;Feeling overwhelmed","Social Media","4-7 hours","3","3","Yes, negatively"
"2026/04/05 8:29:13 pm EET","18-21","Student","Often","A day before the due date","Feeling overwhelmed","Friends/Family","4-7 hours","3","3","Yes, positively"
"2026/04/05 8:31:23 pm EET","18-21","Student","Always","A few days after its announced","Lack of motivation;Distractions (social media, games,etc.)","Social Media","8+ hours","3","2","Yes, negatively"
"2026/04/05 9:20:43 pm EET","18-21","Student","Sometimes","A few days after its announced","Lack of motivation;Distractions (social media, games,etc.);Feeling overwhelmed","Social Media","4-7 hours","4","4","Yes, negatively"
"2026/04/05 9:56:14 pm EET","18-21","Student","Often","A few days after its announced","Lack of motivation;Feeling overwhelmed","Games","2-4 hours","3","3","Yes, negatively"
"2026/04/05 10:10:36 pm EET","18-21","Student","Sometimes","A few days after its announced","Lack of motivation;Distractions (social media, games,etc.);Poor time mangement","Friends/Family","4-7 hours","3","4","Yes, negatively"
"2026/04/05 10:19:31 pm EET","18-21","Student","Sometimes","A few days after its announced","Lack of motivation;Poor time mangement;Feeling overwhelmed;Idk if this counts as distractions but when my family forces me to go out lol","Social Media","2-4 hours","3","4","Not sure"
"2026/04/06 12:24:12 am EET","18-21","Student","Often","A few days after its announced","Lack of motivation;Distractions (social media, games,etc.);Poor time mangement","Social Media","4-7 hours","2","2","Yes, negatively"
"2026/04/06 9:28:35 am EET","25+","Employee","Sometimes","Once its announced","Distractions (social media, games,etc.);Poor time mangement","Social Media","4-7 hours","4","4","Not sure"
"2026/04/06 9:36:06 am EET","25+","Employee","Sometimes","Once its announced","Feeling overwhelmed","work","Less than 2 hours","4","5","Yes, negatively"
